name,begin_date_year,type,tag_name,tag_count
Alley,2005,2,death metal,1
Allister,1996,2,punk,1
Allmacht,2008,2,black metal,1
Allo Darlin’,2008,2,twee pop,1
Allura,2007,2,rock,1
Almafuerte,1995,2,heavy metal,1
Almah,2006,2,power metal,1
Almanac,2015,2,power metal,1
Almendra,1967,2,psychedelic pop,1
Al-Namrood,2008,2,black metal,1
Alpha,1996,2,trip hop,1
Alpha Boy School,1999,2,ska,1
Alpha Drone,2004,2,dark ambient,1
Alpha du Centaure,2015,2,shoegaze,1
Alphaville,1983,2,new wave,1
Alpine,2009,2,alternative,1
Alquimia,2013,2,power metal,1
Alrune Rod,1968,2,rock,1
Altan,1987,2,folk,2
Altan Urag,2002,2,folk rock,1
Altar of Betelgeuze,2010,2,death metal,1
Altazores,2004,2,pop,1
Alter Bridge,2004,2,alternative metal,1
Alter Ego,1988,2,electronic,1
Altered Images,1979,2,pop,2
Alternative,1979,2,punk,1
Alternative TV,1976,2,punk,2
Althea & Donna,1977,2,reggae,1
Altitudes & Attitude,2013,2,heavy metal,1
alt-J,2007,2,indie pop,1
Altorių Šešėliai,2005,2,black metal,1
Alud,2013,2,rock,1
AlunaGeorge,2009,2,electronic,1
Alunah,2006,2,psychedelic,1
Alvheim,2005,2,black metal,1
Alvvays,2011,2,indie pop,1
AM Aesthetic,2007,2,rock,1
AM Conspiracy,2005,2,hard rock,1
AM:PM,2010,2,deathcore,1
Ama,2002,2,pop,1
Amé Toki,2004,2,nouvelle chanson,1
Amalgama,2001,2,heavy metal,1
Amanda Woodward,2000,2,screamo,2
Amandinho,2014,2,indie rock,1
Amar Quartett,1995,2,classical,1
Amaranthe,2008,2,power metal,2
Amaseffer,2004,2,progressive metal,1
Amazing Blondel,1969,2,folk,1
Amber Light Choices,2013,2,hard rock,1
Amber Run,2012,2,indie pop,1
Amberian Dawn,2006,2,symphonic metal,1
Ambiguitas,2003,2,black metal,1
Ambrosia,1970,2,soft rock,1
Ambush,2013,2,heavy metal,1
Amduscia,1999,2,electronic,1
Amebix,1978,2,punk,1
Amen Corner,1966,2,psychedelic pop,1
Amenra,2003,2,sludge metal,1
America,1970,2,soft rock,1
American Anodyne,2011,2,americana,1
American Aquarium,2005,2,rock,1
American Authors,2011,2,folk pop,1
American Café Orchestra,1987,2,folk,1
American Football,1997,2,emo,1
American Heartbreak,1996,2,punk,1
American Hi-Fi,1998,2,alternative,1
American Jurassic,2015,2,rock,1
American Steel,1995,2,punk,1
Amerigo Trio,2009,2,classical,1
Amesoeurs,2004,2,black metal,1
AmethistA,2004,2,symphonic black metal,1
Amity in Fame,2008,2,rock,1
A-Moe,2003,2,electronic,1
Amon Amarth,1992,2,death metal,4
Amoral,1997,2,power metal,1
Amorphis,1990,2,death metal,1
Amorphous Androgynous,1992,2,techno,1
Ampere,2002,2,screamo,2
Amplifier,1999,2,rock,2
Ampoule Andario,2007,2,industrial,1
An Dhá,2013,2,folk,1
An Early Cascade,2004,2,emo,1
An Horse,2007,2,indie pop,1
Anaal Nathrakh,1999,2,black metal,1
Anabasi Road,2009,2,blues,1
Anabioz,2003,2,death metal,1
Anabyss,2005,2,death metal,1
Anacrusis,1986,2,progressive metal,1
Anal Massaker,1989,2,grindcore,1
Anal Thunder,1997,2,punk,1
Analdicktion,2009,2,death metal,1
Anam,1992,2,folk,1
Anam Cara,2004,2,folk,1
Anúna,1987,2,folk,1
Anarka & Poppy,1982,2,punk,1
